x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	L	S
0.00	0.10	0.20	0.30	0.40	0.50	0.60	0.70	0.80	0.90	0.00	0.03	0.09	0.16	0.25	0.35	0.46	0.59	0.72	0.85	1.08	0.65
0.00	0.30	0.60	0.90	1.20	1.50	1.80	2.10	2.40	2.70	0.00	0.16	0.46	0.85	1.31	1.84	2.41	3.04	3.72	4.44	4.08	2.82
0.00	0.50	1.00	1.50	2.00	2.50	3.00	3.50	4.00	4.50	0.00	0.35	1.00	1.84	2.83	3.95	5.20	6.55	8.00	9.55	7.93	5.57
0.00	0.70	1.40	2.10	2.80	3.50	4.20	4.90	5.60	6.30	0.00	0.59	1.66	3.04	4.69	6.55	8.61	10.85	13.25	15.81	12.48	8.73
0.00	0.90	1.80	2.70	3.60	4.50	5.40	6.30	7.20	8.10	0.00	0.85	2.41	4.44	6.83	9.55	12.55	15.81	19.32	23.05	17.63	12.20
0.00	1.10	2.20	3.30	4.40	5.50	6.60	7.70	8.80	9.90	0.00	1.15	3.26	5.99	9.23	12.90	16.96	21.37	26.11	31.15	23.32	15.94
0.00	1.30	2.60	3.90	5.20	6.50	7.80	9.10	10.40	11.70	0.00	1.48	4.19	7.70	11.86	16.57	21.78	27.45	33.54	40.02	29.51	19.92
0.00	1.50	3.00	4.50	6.00	7.50	9.00	10.50	12.00	13.50	0.00	1.84	5.20	9.55	14.70	20.54	27.00	34.02	41.57	49.60	36.14	24.11
0.00	1.70	3.40	5.10	6.80	8.50	10.20	11.90	13.60	15.30	0.00	2.22	6.27	11.52	17.73	24.78	32.58	41.05	50.15	59.85	43.21	28.49
0.00	1.90	3.80	5.70	7.60	9.50	11.40	13.30	15.20	17.10	0.00	2.62	7.41	13.61	20.95	29.28	38.49	48.50	59.26	70.71	50.67	33.04
0.00	2.10	4.20	6.30	8.40	10.50	12.60	14.70	16.80	18.90	0.00	3.04	8.61	15.81	24.35	34.02	44.73	56.36	68.86	82.17	58.52	37.76
0.00	2.30	4.60	6.90	9.20	11.50	13.80	16.10	18.40	20.70	0.00	3.49	9.87	18.12	27.90	39.00	51.26	64.60	78.93	94.18	66.72	42.63
0.00	2.50	5.00	7.50	10.00	12.50	15.00	17.50	20.00	22.50	0.00	3.95	11.18	20.54	31.62	44.19	58.09	73.21	89.44	106.73	75.28	47.64
0.00	2.70	5.40	8.10	10.80	13.50	16.20	18.90	21.60	24.30	0.00	4.44	12.55	23.05	35.49	49.60	65.20	82.17	100.39	119.79	84.17	52.79
0.00	2.90	5.80	8.70	11.60	14.50	17.40	20.30	23.20	26.10	0.00	4.94	13.97	25.66	39.51	55.21	72.58	91.46	111.75	133.34	93.38	58.07
0.00	3.10	6.20	9.30	12.40	15.50	18.60	21.70	24.80	27.90	0.00	5.46	15.44	28.36	43.66	61.02	80.22	101.09	123.50	147.37	102.91	63.46
0.00	3.30	6.60	9.90	13.20	16.50	19.80	23.10	26.40	29.70	0.00	5.99	16.96	31.15	47.96	67.02	88.10	111.02	135.65	161.86	112.73	68.98
0.00	3.50	7.00	10.50	14.00	17.50	21.00	24.50	28.00	31.50	0.00	6.55	18.52	34.02	52.38	73.21	96.23	121.27	148.16	176.79	122.85	74.61
0.00	3.70	7.40	11.10	14.80	18.50	22.20	25.90	29.60	33.30	0.00	7.12	20.13	36.98	56.94	79.57	104.60	131.81	161.04	192.16	133.25	80.35
0.00	3.90	7.80	11.70	15.60	19.50	23.40	27.30	31.20	35.10	0.00	7.70	21.78	40.02	61.62	86.11	113.19	142.64	174.27	207.95	143.93	86.19
0.00	4.10	8.20	12.30	16.40	20.50	24.60	28.70	32.80	36.90	0.00	8.30	23.48	43.14	66.41	92.82	122.01	153.75	187.85	224.15	154.88	92.14
0.00	4.30	8.60	12.90	17.20	21.50	25.80	30.10	34.40	38.70	0.00	8.92	25.22	46.33	71.33	99.69	131.05	165.14	201.76	240.75	166.09	98.18
0.00	4.50	9.00	13.50	18.00	22.50	27.00	31.50	36.00	40.50	0.00	9.55	27.00	49.60	76.37	106.73	140.30	176.79	216.00	257.74	177.56	104.31
0.00	4.70	9.40	14.10	18.80	23.50	28.20	32.90	37.60	42.30	0.00	10.19	28.82	52.95	81.51	113.92	149.75	188.71	230.56	275.11	189.28	110.54
0.00	4.90	9.80	14.70	19.60	24.50	29.40	34.30	39.20	44.10	0.00	10.85	30.68	56.36	86.77	121.27	159.41	200.88	245.43	292.86	201.25	116.85
0.00	5.10	10.20	15.30	20.40	25.50	30.60	35.70	40.80	45.90	0.00	11.52	32.58	59.85	92.14	128.77	169.27	213.31	260.61	310.97	213.46	123.26
0.00	5.30	10.60	15.90	21.20	26.50	31.80	37.10	42.40	47.70	0.00	12.20	34.51	63.40	97.61	136.42	179.32	225.98	276.09	329.44	225.90	129.74
0.00	5.50	11.00	16.50	22.00	27.50	33.00	38.50	44.00	49.50	0.00	12.90	36.48	67.02	103.19	144.21	189.57	238.89	291.86	348.26	238.58	136.31
0.00	5.70	11.40	17.10	22.80	28.50	34.20	39.90	45.60	51.30	0.00	13.61	38.49	70.71	108.87	152.15	200.00	252.03	307.93	367.43	251.48	142.96
